N,Посада,Мова програмування,Спеціалізація,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Університет,Ще студент,Рівень англійської,Предметна область,Дата заповнення,User.Agent,exp,current_job_exp,salary,Валюта,cls,Unnamed: 25,Unnamed: 26,avg
35,Senior Software Engineer,C#/.NET,,6.0,4.0,3620,300,Харків,більше 1000 осіб,Аутстафінгова,чоловіча,25,Вища,ХАІ,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 13:08:30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,4.0,3620,,DEV,,,3620
36,Junior Software Engineer,Java,,1.0,1.0,350,350,Ужгород,до 50 осіб,Аутсорсингова,чоловіча,26,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),,12/06/2017 13:08:32,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1.0,1.0,350,,DEV,,,350
37,HTML coder,,,1.0,0.5,550,500,Київ,до 50 осіб,Продуктова,жіноча,24,Вища,НТУУ «КПІ»,False,Intermediate (середній),Веб-розробка,12/06/2017 13:08:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.5,550,,,,,550
38,Software Engineer,C#/.NET,,4.0,,2300,400,Харків,до 200 осіб,Аутстафінгова,чоловіча,26,Вища,ХАІ,False,Intermediate (середній),Веб-розробка,12/06/2017 13:08:36,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.0,2300,,DEV,,,2300
39,QA engineer,,Manual QA,4.0,3.0,1000,200,Харків,до 50 осіб,Продуктова,жіноча,27,Вища,ХНУ ім. Каразіна,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 13:08:53,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,3.0,1000,,QA,,,1000
40,QA engineer,,General QA,2.0,2.0,800,150,Вінниця,до 1000 осіб,Продуктова,жіноча,27,Вища,Інший ВНЗ,False,Intermediate (середній),Gamedev,12/06/2017 13:09:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,800,,QA,,,800
41,Junior Software Engineer,Swift,,3.0,1.5,450,150,Інше,до 10 осіб,Продуктова,чоловіча,27,Вища,ХНУРЕ,False,Pre-intermediate (нище середнього),iOS,12/06/2017 13:09:06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.5,450,,DEV,,,450
42,Senior Software Engineer,Java,,5.0,5.0,2500,500,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,26,Дві вищих,НАУ,False,Intermediate (середній),"Веб-розробка,Корпоративні системи",12/06/2017 13:09:21,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,2500,,DEV,,,2500
43,Senior Software Engineer,Swift,,5.0,1.0,3230,380,Київ,до 50 осіб,Продуктова,чоловіча,25,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),iOS,12/06/2017 13:09:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.0,3230,,DEV,,,3230
44,Software Engineer,PHP,,2.0,,1200,500,Київ,до 10 осіб,Аутсорсингова,чоловіча,23,Вища,СумГУ,False,Upper-Intermediate (вище середнього),"Веб-розробка, Gamedev",12/06/2017 13:09:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,1200,,DEV,,,1200
45,Technical Lead,Perl,,6.0,4.0,3400,250,Київ,більше 1000 осіб,Аутстафінгова,чоловіча,36,Неповна Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),Фінанси та банкінг,12/06/2017 13:09:29,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPad5,1;FBMD/iPad;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/;FBID/tablet;FBLC/en_US;FBOP/5;FBRV/0]",6.0,4.0,3400,,SDEV,,,3400
46,Team lead,,,8.0,1.0,4000,500,Київ,до 10 осіб,Стартап,чоловіча,28,Вища,Інший ВНЗ,False,Intermediate (середній),Веб-розробка,12/06/2017 13:09:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,1.0,4000,,PM,,,4000
47,Senior Software Engineer,PHP,,5.0,1.0,3500,2000,Київ,до 10 осіб,Продуктова,чоловіча,21,Неповна Вища,НАУ,False,Upper-Intermediate (вище середнього),"Фінанси та банкінг, Корпоративні системи",12/06/2017 13:09:30,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.0,3500,,DEV,,,3500
48,Junior Software Engineer,Ruby/Rails,,0.5,0.5,350,150,Львів,до 50 осіб,Аутсорсингова,чоловіча,26,Вища,Львівська Політехніка,False,Intermediate (середній),Веб-розробка,12/06/2017 13:09:34,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,350,,DEV,,,350
49,Product Manager,,,1.0,0.5,1000,0,Київ,до 10 осіб,Стартап,чоловіча,43,Вища,НТУУ «КПІ»,False,Intermediate (середній),Телекомунікації,12/06/2017 13:09:49,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.5,1000,,,,,1000
50,QA engineer,,Manual QA,4.0,3.0,1650,150,Київ,до 50 осіб,Аутсорсингова,чоловіча,28,Вища,Інший ВНЗ,False,Intermediate (середній),"Desktop Applications,Інше",12/06/2017 13:09:50,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0,4.0,3.0,1650,,QA,,,1650
51,DBA,,,8.0,0.5,3500,150,Київ,до 50 осіб,Продуктова,чоловіча,30,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),Інше,12/06/2017 13:09:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,0.5,3500,,,,,3500
52,QA engineer,,Automation QA,1.5,1.5,1050,350,Харків,до 1000 осіб,Аутсорсингова,жіноча,22,Неповна Вища,ХНЕУ,False,Intermediate (середній),"Веб-розробка,Корпоративні системи",12/06/2017 13:09:53,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",1.5,1.5,1050,,QA,,,1050
53,Technical Lead,C++,,,4.0,4500,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,35,Вища,КНУ ім. Шевченко,False,Advanced (просунутий),Мультимедіа,12/06/2017 13:09:57,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,4.0,4500,,SDEV,,,4500
54,Software Engineer,C#/.NET,,5.0,2.0,450,150,Інше,до 200 осіб,Аутсорсингова,чоловіча,27,Вища,Інший ВНЗ,False,Pre-intermediate (нище середнього),iOS,12/06/2017 13:09:59,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,2.0,450,,DEV,,,450
55,Technical Lead,PHP,,6.0,3.0,3000,500,Київ,до 10 осіб,Аутстаффинговая,чоловіча,24,Вища,НАУ,False,Upper-Intermediate (вище середнього),"Веб-розробка,eCommerce",12/06/2017 13:10:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,3.0,3000,,SDEV,,,3000
56,Software Engineer,C#/.NET,,6.0,6.0,2550,150,Київ,до 1000 осіб,Продуктова,чоловіча,35,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 13:10:04,"Mozilla/5.0 (Linux; Android 5.1.1; Nexus 4 Build/LMY48T; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",6.0,6.0,2550,,DEV,,,2550
57,Software Engineer,C#/.NET,,6.0,4.0,1000,200,Житомир,до 10 осіб,Продуктова,чоловіча,29,Вища,ЖГТУ,False,Intermediate (середній),"Desktop Applications,Корпоративні системи",12/06/2017 13:10:07,"Mozilla/5.0 (Windows Phone 10.0; Android 6.0.1; Microsoft; Lumia 640 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Mobile Safari/537.36 Edge/15.15063",6.0,4.0,1000,,DEV,,,1000
58,Software Engineer,PHP,,3.0,1.5,1800,500,Київ,до 200 осіб,Продуктова,чоловіча,25,Вища,Інший ВНЗ,False,Intermediate (середній),Корпоративні системи,12/06/2017 13:10:14,"Mozilla/5.0 (X11; Fedora; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",3.0,1.5,1800,,DEV,,,1800
59,Software Engineer,Ruby/Rails,,2.0,1.5,2850,850,Київ,до 200 осіб,Аутсорсингова,чоловіча,23,Вища,НТУУ «КПІ»,True,Intermediate (середній),Веб-розробка,12/06/2017 13:10:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.5,2850,,DEV,,,2850
60,Software Engineer,JavaScript,,3.0,3.0,1100,200,Запоріжжя,до 50 осіб,Аутсорсингова,чоловіча,23,Вища,ЗНТУ,False,Pre-intermediate (нище середнього),Веб-розробка,12/06/2017 13:10:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,3.0,1100,,DEV,,,1100
61,Junior Software Engineer,JavaScript,,1.0,,700,0,Харків,до 1000 осіб,Аутсорсингова,чоловіча,40,Вища,ХАІ,False,Intermediate (середній),Веб-розробка,12/06/2017 13:10:29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,10.0,700,,DEV,,,700
62,QA engineer,,Manual QA,3.0,1.0,1800,600,Інше,більше 1000 осіб,Аутсорсингова,чоловіча,27,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),Фінанси та банкінг,12/06/2017 13:10:38,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Mobile/14D27 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/10.2.1;FBSS/2;FBCR/T-Mobile.pl;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/0]",3.0,1.0,1800,,QA,,,1800
63,Senior Software Engineer,Scala,,4.0,,3400,1600,Київ,до 200 осіб,Аутстафінгова,чоловіча,26,Вища,НАУ,False,Upper-Intermediate (вище середнього),Інше,12/06/2017 13:10:42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.0,3400,,DEV,,,3400
64,Senior Software Engineer,Java,,7.0,4.0,4000,500,Харків,до 200 осіб,Аутсорсингова,чоловіча,34,Вища,ХНУРЕ,False,Advanced (просунутий),"Фінанси та банкінг,eCommerce",12/06/2017 13:10:45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,4.0,4000,,DEV,,,4000
65,Senior QA engineer,,Automation QA,5.0,2.0,1800,300,Київ,до 200 осіб,Продуктова,чоловіча,35,Вища,НАУ,False,Upper-Intermediate (вище середнього),Веб-розробка,12/06/2017 13:11:04,"Mozilla/5.0 (Linux; Android 7.0; SM-G935F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",5.0,2.0,1800,,QA,,,1800
